smiles,Kode-1,Kode-2
CCc1nc(c2c3c(sc2n1)C[NH+](CC3)CC)N4CCN(CC4)C(=O)NC(C)(C)C,C35868067,P53259037
C[NH+]1CCN(CC1)[C@H](c2ccc(cc2)Cl)c3c(n4c(s3)nc(n4)c5ccco5)O,C22798440,P54061069
CC[NH+]1CCN(CC1)[C@@H](c2ccc(cc2)F)c3c(n4c(s3)nc(n4)c5ccco5)O,C22795360,P56773213
c1cc(ccc1[C@@H](C(=O)Nc2ccc3c(c2)OCO3)[NH+]4CCC5(CC4)OCCO5)Cl,C03742134,P56795818
Cc1ccc2c(c1)C3=C([C@@H](O2)c4ccc(cc4)OC)[C@@H](N5C(=N3)[NH+]=CN5)c6cccnc6,C09309678,P57668219
Cc1ccc2c(c1)C3=C([C@H](O2)c4ccc(cc4)OC)[C@H](N5C(=N3)[NH+]=CN5)c6cccnc6,C09309681,P57668222
c1ccc2c(c1)cc(o2)C3=NN=C[C@H]3CN4CC[NH+](CC4)[C@H]5Nc6ccccc6O5,C39461206,P59811932
c1ccc(cc1)CNc2c3ccccc3[nH+]c(n2)N4CCN(CC4)c5ncccn5,C41151131,P62441018
CCc1nc2n(n1)c(c(s2)[C@@H](c3ccco3)[NH+]4CCN(CC4)c5ccccc5)O,C22854598,P85518497
c1ccc2c(c1)[nH+]c3n2[C@@H](N=C4N3CN(CN4)Cc5cccnc5)c6ccc(cc6)Cl,C20556167,P85955033
Cc1c(c(n([nH+]1)C)C)[C@@H](C)NC(=O)N2CCN(CC2)C(=O)CCC3CCCCC3,C58183518,P87810065
Cc1ccc(cc1)n2c(c(c(n2)C)/C=N/NC(=O)Cn3c[nH+]c4c3cc(c(c4)C)C)C,C59147411,P89749108
c1cc(nnc1n2cc[nH+]c2)N3CCC[C@H](C3)C(=O)Nc4cc(cc(c4)Cl)Cl,C62164937,P95398324
CCCCNC(=O)c1ccc(cc1)N2C(=O)[C@@]3([C@@H]4C(=c5ccccc5=[NH+]4)CCN3C2=O)C,C63351109,P97291969
CC[C@@H](C)NC(=O)c1ccc(cc1)N2C(=O)[C@@]3([C@@H]4C(=c5ccccc5=[NH+]4)CCN3C2=O)C,C63351117,P97291979
CC[C@H](C)NC(=O)c1ccc(cc1)N2C(=O)[C@@]3([C@H]4C(=c5ccccc5=[NH+]4)CCN3C2=O)C,C63351120,P97291982
Cc1ccc(cc1)c2nc(on2)[C@@H]3Cc4c([nH+]c[nH]4)CN3Cc5ccc(cc5)N(C)C,C15675554,P104217181
CN(C)c1ccc(cc1)CN2Cc3c([nH]c[nH+]3)C[C@H]2c4nc(no4)c5ccc(cc5)F,C15675754,P104231780
Cc1ccc2c(c1)[nH]c([nH+]2)[C@@H]3CCCN3C(=O)C4CCN(CC4)C(=O)OCC(C)C,C72077311,P111872236
C[C@H]1CCCN(C1)c2[nH]c3c(c(=O)n2)CC[NH+](C3)C[C@@H](C)Cc4ccc5c(c4)OCO5,C12184759,P112437222
C[C@@H]1CN(C[C@@H](O1)C)c2[nH]c(=O)c3c(n2)C[NH+](CC3)C/C=C/c4ccc(cc4)OC,C72335686,P112438714
CC1CCN(CC1)c2[nH]c(=O)c3c(n2)CCN(C3)Cc4[nH+]c5ccccc5n4C(C)C,C12116271,P112482584
Cc1cc(nc(n1)Nc2cccc([nH+]2)[C@H]3CCCN(C3)S(=O)(=O)c4ccccc4)C,C72375980,P112549499
C[C@@H]1CC(N(c2c1cc(c(c2)C[NH+](C)C)O)C(=O)c3ccc(cc3)[N+](=O)[O-])(C)C,C72441544,P112699896
CC(C)(C)OC(=O)N1CCC2(CC1)[C@H]3CN(C[C@H]3C[NH2+]2)C(=O)OCc4ccccc4,C91302618,P142820310
CC(C)(C)OC(=O)N1CCN(C[C@@]2(C1)CCCC[NH2+]2)C(=O)OCc3ccccc3,C91302646,P142820338
c1ccc2c(c1)nc3n2[C@H](N=C4N3C[NH+](CN4)Cc5ccco5)c6ccc(cc6)Cl,C20556172,P149994741
c1ccc(cc1)C[NH+]2CCc3c(sc(c3C#N)/N=C/c4cccc(c4O)[N+](=O)[O-])C2,C22612073,P155905786
Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CCCC[NH3+])NC(=O)CNC(=O)OC(C)(C)C,C60291713,P101775207
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)CO[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CO)O)O)O)O)O)O)O,C67902528,P104252075
CCCCC[C@H](C[C@@H](CC(=O)O[C@@H](CCCCC)C[C@@H](CC(=O)[O-])O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O,C67910388,P104261301
