"AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.496969696969697","0.013627719983342676","Outlier","0.40048543689320387","0.4642857142857143","8","4","false","TBP","21.375","0","8","0","0.9754595131644311","false","0","TBP","1714","0.2560240963855422"
"2.787878787878788","0.0","Overlap","0.358695652173913","1.0","3","4","false","GSAP","23.333333333333332","0","3","0","0.9706905116741182","false","0","GSAP","0","0.45751633986928103"
"3.1333333333333333","0.0","Cluster","0.3191489361702128","0.0","1","5","false","GPR3","28.0","0","1","0","0.9650273224043716","false","0","GPR3","0","0.0"
"3.315151515151515","0.0","Outlier","0.3016453382084095","0.0","1","5","false","GNE","18.0","0","1","0","0.9620466964729261","false","0","GNE","0","0.0"
"3.533333333333333","0.0","Cluster","0.2830188679245283","0.0","1","6","false","GLO1","11.0","0","1","0","0.9584699453551913","false","0","GLO1","0","0.0"
"2.7454545454545456","0.002374110013816202","Outlier","0.36423841059602646","0.5","8","5","false","SNCB","13.375","0","8","0","0.9713859910581223","false","0","SNCB","448","0.25"
"2.6484848484848484","0.001273718251415101","Outlier","0.37757437070938216","0.5357142857142857","8","5","false","SNCAIP","17.625","0","8","0","0.9729756582215598","false","0","SNCAIP","244","0.26704545454545453"
"3.066666666666667","6.814737867756427E-4","Outlier","0.32608695652173914","0.0","3","5","false","KMO","12.333333333333334","0","3","0","0.9661202185792349","false","0","KMO","110","0.37777777777777777"
"2.8848484848484848","0.012147258926312013","Outlier","0.34663865546218486","0.3333333333333333","4","4","false","RYK","16.25","0","4","0","0.9691008445106806","false","0","RYK","1798","0.36363636363636365"
"3.0424242424242425","0.0011574096348063846","Outlier","0.3286852589641434","0.6666666666666666","4","5","false","REST","11.0","0","4","0","0.9665176353700944","false","0","REST","226","0.3793103448275862"
"3.4242424242424243","0.0","Outlier","0.2920353982300885","1.0","2","6","false","EHMT1","7.0","0","2","0","0.9602583209140586","false","0","EHMT1","0","0.7"
"3.1636363636363636","0.0","Outlier","0.3160919540229885","1.0","2","5","false","ECE2","14.0","0","2","0","0.9645305514157974","false","0","ECE2","0","0.5833333333333334"
"2.6121212121212123","0.004687378688295677","Outlier","0.382830626450116","0.25","8","4","false","PRKCE","16.125","0","8","0","0.973571783407849","false","0","PRKCE","786","0.22535211267605634"
"2.6484848484848484","9.933777503474419E-4","Outlier","0.37757437070938216","0.3","5","5","false","ECE1","20.2","0","5","0","0.9729756582215598","false","0","ECE1","260","0.3076923076923077"
"4.5636363636363635","0.0","Outlier","0.21912350597609562","0.0","1","6","false","LRRTM3","3.0","0","1","0","0.9415797317436662","false","0","LRRTM3","0","0.0"
"2.824242424242424","0.015819850744665007","Outlier","0.3540772532188841","0.1","5","4","false","CTNND2","13.2","0","5","0","0.9700943864878291","false","0","CTNND2","2584","0.2680851063829787"
"2.8727272727272726","9.04882134174897E-4","Outlier","0.34810126582278483","0.0","3","5","false","FLNB","16.0","0","3","0","0.9692995529061103","false","0","FLNB","166","0.36585365853658536"
